Checklist Question,Matched Subcategories,Scores
Are staff responsible for LNG bunkering aware of their responsibilities and actions to be taken in case of malfunction or emergency and are instructions and warning signs clearly posted on site for safe LNG bunkering operation?,Liquefied gases in bulk # Holds and tanks safety # Liquefied gases in bulk (CoF/GC Code),0.711 # 0.686 # 0.679
"Is the safety zone clearly marked and, have restrictions within the safety zone been enforced and followed?",Guards / fencing around dangerous machinery parts # Danger areas # Dangerous areas,0.708 # 0.701 # 0.685
Are the self-igniting lights of lifebuoys located in the hazardous area intrinsically safe?,Lifebuoys incl. provision and disposition # Low level lighting in corridors # Lighting (Working spaces),0.701 # 0.670 # 0.657
Is the LNG bunkering operator control panel fitted with an earth indicator light to indicate the faulty circuits and is the control panel free of any faulty earth indication during LNG bunkering?,Liquefied gases in bulk # Inert gas alarm # Liquefied gases in bulk (CoF/GC Code),0.652 # 0.652 # 0.642
Is the main radio aerial earthed and are portable two-way UHF radios approved for use in hazardous areas?,VHF EPIRB # Performance standards for radio equipment # Radio life-saving appliances,0.673 # 0.643 # 0.642
Has a pre-compatibility assessment and study of the weather and current forecast been carried out prior to confirming the bunkering operation and is there documented evidence of such assessment and study?,"Loading/Ballast condition (Tanker) # Ballast, fuel and other tanks # Facilities for reception of marine safety information",0.721 # 0.702 # 0.702
Is all lighting around the bunker area Ex-rated and does it appear adequate to illuminate the bunker area?,"Low level lighting in corridors # Lighting (Working spaces) # Emergency lighting, batteries and switches",0.656 # 0.644 # 0.643
"Have the key components of the LNG bunkering system been identified, included within the PMS, maintained and where applicable, calibrated as per the manufacturer’s recommendation?","Liquefied gases in bulk # Liquefied gases in bulk (CoF/GC Code) # Ballast, fuel and other tanks",0.722 # 0.722 # 0.714
Is there a procedure for communication failure during LNG bunkering operation and are crew familiar with such a procedure?,Main installation # Operation of GMDSS equipment # Liquefied gases in bulk,0.703 # 0.701 # 0.692
Is there an agreed method of tank pressure and temperature control between the delivering and receiving vessels and is there recorded evidence to show that both ships’ combined temperature and pressure range are within the safety limits before commencing LNG bunkering?,Loading/Ballast condition (Tanker) # Liquefied gases in bulk # Temperature control,0.727 # 0.723 # 0.721
Is there evidence to show that a detailed mooring plan was exchanged between the delivering and receiving vessels and has the master of the receiving vessel reviewed the type and size of fenders of the delivering vessel?,Load lines (including Exemption) # Other (load lines) # Facilities for reception of marine safety information,0.703 # 0.697 # 0.697
Has the LNG hose handling operation been carried out and supervised by trained personnel?,Liquefied gases in bulk # Cargo transfer - Tankers # Liquefied gases in bulk (CoF/GC Code),0.648 # 0.636 # 0.633
Is a water curtain system provided for the ship’s sides in way of manifold and is the manifold tray arrangement adequate and free of any sharp edges?,"Division - decks, bulkheads and penetrations # Fire protection cargo deck area # Windows, side scuttles and deadlights",0.642 # 0.642 # 0.642
Has the LNG fuels bunkering checklist been correctly completed and is there evidence to show that they are effectively managing their obligations as accepted in the checklist?,Liquefied gases in bulk (CoF/GC Code) # Liquefied gases in bulk # Liquefied gases in bulk (ICoF/IGC Code),0.741 # 0.736 # 0.723
Are LNG bunker lines being inerted immediately after completion of LNG bunkering and disconnection of hoses from the manifolds and before departure?,Liquefied gases in bulk # Cargo tank vent system # Jacketed high pressure lines and oil leakage alarm,0.684 # 0.680 # 0.674
Are system safety valves in good order and officers aware of the requirements?,Operation of GMDSS equipment # Performance standards for radio equipment # Operation/maintenance,0.709 # 0.705 # 0.698
Is the receiving vessel in a high state of readiness at all times during LNG bunkering operations?,Liquefied gases in bulk (CoF/GC Code) # Loading/Ballast condition (Tanker) # Stability/strenght/loading information and instruments,0.718 # 0.710 # 0.709
Was the vessel provided with contingency plans for dealing with emergencies?,Fire control plan # Damage control plan # SAR co-operation plan for pass.ships on fixed trade,0.719 # 0.717 # 0.715
Is the emergency shutdown system in good order and is there recorded evidence of regular testing?,Emergency Systems # Reserve source of energy # Maintenance of Fire protection systems,0.684 # 0.677 # 0.661
"Are tank domes, domes’ insulation, vapour and filling pipes’ insulation, manhole cover insulation and associated fittings in good order, free from leaks and corrosion?","Ballast, fuel and other tanks # Pumping, piping and discharge arrangements # Manholes / flush scuttles",0.677 # 0.663 # 0.661
Are LNG fuel tanks protected by an independent LNG tank level alarm device and is there recorded evidence to show that the device has been tested regularly?,Inert gas alarm # Jacketed high pressure lines and oil leakage alarm # Liquefied gases in bulk,0.710 # 0.678 # 0.676
"Is there recorded evidence of regular calibration of thermometers, pressure gauges, the gas detection system and tank level gauges?","Gauges, thermometers etc. # Atmosphere testing instruments # Instrumentation",0.714 # 0.686 # 0.679
Is prevention of over-pressurization of the LNG transfer system in the event of activation of the ERS or the ESD documented in the LNG fuel-handing manual?,Liquefied gases in bulk # Liquefied gases in bulk (CoF/GC Code) # Cargo transfer - Tankers,0.690 # 0.659 # 0.657
"Are precautions to prevent electrostatic charge in the LNG bunker hose being taken and, have the minimum and maximum hose lengths and diameters that the hose support loading arm and/or hose saddles can support been documented in the LNG fuel-handing manual?",Liquefied gases in bulk # Cargo transfer - Tankers # Pump room bottom protection,0.707 # 0.690 # 0.689
"Are the officers aware of any LNG bunker loading limitations for the vessel and are these limitations, if applicable, clearly posted at the LNG bunker operation panel?",Loading/Ballast condition (Tanker) # Liquefied gases in bulk (CoF/GC Code) # Stability/strenght/loading information and instruments,0.756 # 0.752 # 0.751
Is the vessel provided with vessel manager’s procedures and relevant publications for the safe carriage and handling of solid bulk cargoes? (V)?,Stability/strenght/loading information and instruments # Cargo securing manual # P & A manual,0.726 # 0.715 # 0.712
Has appropriate information about the cargo and its characteristics been provided to the master prior to loading? (V)?,Cargo density declaration # Stability/strenght/loading information and instruments # Cargo operations including equipment,0.737 # 0.720 # 0.712
"Has the Master been provided with a signed certificate or declaration, indicating the moisture content, Transportable Moisture Limit (TML) and density? (V & M)?",Document of compliance (DoC/ ISM) # Ballast Water Management Certificate # Certificates and Documentation - Document,0.659 # 0.654 # 0.651
"Is information readily available on the ballasting and de-ballasting rate, the maximum allowable load per unit, the surface area of the tank-top plating, and the maximum allowable load per hold? (V)?","Loading/Ballast condition (Tanker) # Ballast, fuel and other tanks # Decks - corrosion",0.720 # 0.713 # 0.703
Is there an approved damaged stability / stability and loading booklet available? (V)?,Shipboard working arrangements # Stability/strenght/loading information and instruments # Stability Information Booklet,0.767 # 0.715 # 0.672
Is a Class-approved loading computer or programme in use and has the operational accuracy been regularly tested? (V)?,Stability/strenght/loading information and instruments # Ship Energy Efficiency Management plan # Type approval equipment,0.692 # 0.660 # 0.645
"Are the stresses, stability information and any limitations included in the cargo plan understood by the cargo watch officers, and are conditions being monitored and maintained within design limits throughout the cargo operation? (V)?","Stability/strenght/loading information and instruments # Cargo operation # Stowage incl. uprights, lashing, etc (timber)",0.742 # 0.721 # 0.720
"Are there procedures in place for loading, ballasting and de-ballasting of the ballast holds? (V)?","Loading/Ballast condition (Tanker) # Ballast, fuel and other tanks # Hydrostatically balanced loading",0.705 # 0.690 # 0.675
Are there guidelines and procedures for hold cleaning after completion of unloading? (V)?,"Loading, unloading & cleaning procedures cargo spaces of tankers # Tank washing equipment # Freeboard marks",0.692 # 0.648 # 0.647
Is the vessel free of any limitations or restrictions specified in the Loading Manual or Trim and Stability Booklet? (V)?,Stability/strenght/loading information and instruments # Load lines (including Exemption) # Shipboard working arrangements,0.747 # 0.744 # 0.735
"Are officers familiar with the risk, hazard and carriage requirements of solid bulk cargo on board the ship? (V)?","P & A manual # Stowage incl. uprights, lashing, etc (timber) # Stability/strenght/loading information and instruments",0.767 # 0.766 # 0.761
"Have precautionary measures to minimise the risk of potential liquefaction and chemical reaction within the cargo during the voyage been incorporated in the procedures, and are these procedures being followed? (V)?",Fire protection cargo deck area # Loading/Ballast condition (Tanker) # Stowage,0.741 # 0.740 # 0.735
"Is if the solid bulk cargo is not listed in the IMSBC Code, has the Master been provided with a certificate from the shipper, endorsed by the competent authority of the port, stating the characteristics of the cargo and the required conditions for carriage and handling? (V)?",Cargo density declaration # Ship Energy Efficiency Management plan # Document of compliance (DoC/ ISM),0.755 # 0.738 # 0.713
"Has as a cargo loading/unloading plan providing a detailed sequence of cargo and ballast transfer been prepared, understood, and signed off by the master and deck officers? (V)?","Loading/Ballast condition (Tanker) # Booklet for bulk cargo loading/unloading/stowage # Stowage incl. uprights, lashing, etc (timber)",0.734 # 0.734 # 0.717
Is an adequate record of all cargo operation activities maintained during loading and unloading? (V)?,Cargo operations including equipment # Stability/strenght/loading information and instruments # Cargo operation,0.714 # 0.695 # 0.690
Have details of cargo care during the voyage been adequately recorded? (V)?,Records of seafarers' daily hours of work or rest # Cargo information # Cargo operations including equipment,0.734 # 0.731 # 0.722
"Are the dangers associated with oxygen depletion of cargo understood by officers and crew, and have reasonable precautions been taken during routine inspections of the cargo, when entering the holds and adjacent spaces? (V)?","Atmosphere testing instruments # Safe means of access deck - hold/tank, etc. # Openings to cargo area, doors, ..., scuttles",0.754 # 0.750 # 0.747
"Is if coal cargo is being carried, was the ship equipped with appropriate instruments for measuring the temperature of cargo, monitoring the atmosphere of the cargo hold and checking the pH value of cargo bilge sample? (V)?",Instrumentation # Atmosphere testing instruments # Fire protection cargo deck area,0.762 # 0.757 # 0.725
Is any special emergency equipment required by IMSBC on board(as applicable) and in a state of readiness during the cargo operation? (V)?,Ship Energy Efficiency Management plan # Cargo ship safety equipment (including exemption) # Medical equipment,0.728 # 0.708 # 0.706
Has the vessel manager provided policy statements and relevant publications for the safe carriage and handling of grain in bulk? (V)?,Grain # Ship Energy Efficiency Management plan # Authorization for grain carriage,0.746 # 0.731 # 0.729
Has appropriate information about the cargo and its characteristics been provided to the master or master’s representative prior to loading? (V & M)?,Cargo density declaration # Cargo information # Stability/strenght/loading information and instruments,0.732 # 0.713 # 0.712
Has the grain cargo been examined and sampled during loading to ensure that the apparent conditions meet the requirements as described in the documentation and is there recorded evidence of regular monitoring where applicable? (V)?,Grain # Stability/strenght/loading information and instruments # Authorization for grain carriage,0.760 # 0.745 # 0.733
Is the approved document of authorisation and grain stability booklet (Grain Loading Manual) provided?,Authorization for grain carriage # Grain # Shipboard working arrangements,0.740 # 0.718 # 0.700
"Is if the document of authorisation was not provided, can the master demonstrate the compliance of the ship’s stability with the Grain Code? (V)?",Grain # Authorization for grain carriage # Document of compliance (DoC/ ISM),0.790 # 0.766 # 0.754
Is a Class-approved loading computer or programme in use and has its operational accuracy been regularly tested? (V)?,Stability/strenght/loading information and instruments # Ship Energy Efficiency Management plan # Operation of machinery,0.689 # 0.661 # 0.645
Are regular monitoring of stress and stability being maintained throughout cargo operations and is the vessel’s condition being maintained within design limits? (V)?,Stability/strenght/loading information and instruments # Loading/Ballast condition (Tanker) # Bulkheads - operational damage,0.780 # 0.750 # 0.742
"Are there procedures in place for loading, ballasting and de-ballasting of the ballast holds? (V)?","Loading/Ballast condition (Tanker) # Ballast, fuel and other tanks # Hydrostatically balanced loading",0.705 # 0.690 # 0.675
Are there guidelines and procedures for hold cleaning in place (V)?,Cleanliness # Laundry # Emergency cleaning devices,0.682 # 0.662 # 0.649
"Have cargo holds been grain or hospital cleaned, where applicable, and has a ship’s hold inspection certificate been issued by a 3rd party prior to loading grain? (V & M)?",Stability/strenght/loading information and instruments # Grain # Authorization for grain carriage,0.737 # 0.732 # 0.727
Is the vessel free of any limitations or restrictions specified in the loading manual or trim and stability booklet? (V)?,Stability/strenght/loading information and instruments # Load lines (including Exemption) # Shipboard working arrangements,0.747 # 0.744 # 0.735
"Are officers familiar with the risk, hazard and carriage requirements of grain cargo on board the ship? (V)?","Grain # Stowage incl. uprights, lashing, etc (timber) # P & A manual",0.778 # 0.750 # 0.744
Have hatch covers been ultrasonically tested for weather tightness before loading? (V & M)?,"Cargo and other hatchways # Covers (hatchway-, portable-, tarpaulins, etc.) # Openings to cargo area, doors, ..., scuttles",0.711 # 0.701 # 0.640
"Has the master been provided with clear instructions regarding any fumigation, prior to arrival at the load port? (V)?","Dirty, parasites # Protection machinery # Ship Energy Efficiency Management plan",0.663 # 0.651 # 0.649
Has the vessel been provided with procedures and contingencies regarding fumigation of cargo holds and are the master and chief officer familiar with the procedure? (V)?,Fire drills # Cargo securing manual # Loading/Ballast condition (Tanker),0.722 # 0.719 # 0.714
"Is if the vessel is carrying cargo under fumigation, are the requirements of the IMO recommendations on safe use of pesticides being met? (V)?",Document of compliance (DoC/ ISM) # Unattended machinery spaces (UMS) evidence # Stowage,0.723 # 0.704 # 0.703
Do on-board safety requirements for fumigation comply with sub-section 3.3.2.7 of the IMO recommendation on the safe use of pesticides? (V)?,Performance standards for radio equipment # Document of compliance (DoC/ ISM) # Unattended machinery spaces (UMS) evidence,0.694 # 0.690 # 0.687
Are the master’s appointed representatives for fumigation trained and is there evidence to show that they have been effectively performing duties associated with this task? (V)?,"Maintenance of Fire protection systems # Dirty, parasites # Record of inspection",0.656 # 0.648 # 0.641
Have pre-fumigation and post fumigation statements been provided to the master by the fumigator-in-charge? (V)?,"Maintenance of Fire protection systems # Record of inspection # Dirty, parasites",0.685 # 0.677 # 0.677
Are visible means provided to prevent access to all entrances containing fumigant and other spaces that are considered unsafe to enter after fumigation? (V)?,"Permanent means of access # Openings to cargo area, doors, ..., scuttles # Guards / fencing around dangerous machinery parts",0.656 # 0.655 # 0.647
"Has the Voyage Safety Plan (VSP), including the checklist for fumigation during the voyage, been discussed with and signed by the master prior to sailing to the discharge port? (V)?",Ship security plan # Fire control plan # Damage control plan,0.739 # 0.727 # 0.723
"Has as a cargo loading/unloading plan providing a detailed sequence of cargo and ballast transfer been prepared, understood, and signed off by the master and deck officers? (V)?","Loading/Ballast condition (Tanker) # Booklet for bulk cargo loading/unloading/stowage # Stowage incl. uprights, lashing, etc (timber)",0.734 # 0.734 # 0.717
Are procedures in place for entering any cargo holds sealed for fumigation in transit? (V)?,"Openings to cargo area, doors, ..., scuttles # Cargo operations including equipment # Document for carriage of dangerous goods",0.697 # 0.686 # 0.678
Has the master informed the appropriate authorities of the country of destination about the fumigation? (V)?,"Dirty, parasites # Facilities for reception of marine safety information # Document of compliance (DoC/ ISM)",0.653 # 0.641 # 0.633
Has the vessel been provided with a gas free certificate at the discharge port prior to commencement of discharge operation? (V)?,Liquefied gases in bulk (CoF/GC Code) # Load lines (including Exemption) # Tonnage certificate,0.758 # 0.743 # 0.732
Are records maintained of fumigation operations? (V)?,Maintenance of Fire protection systems # Log-books/compulsory entries # Record book engine parameters,0.645 # 0.640 # 0.632
"Are necessary instruments (with spares) to determine the dew point provided, maintained in good condition and are there records of the calibration of such instruments? (V)?","Gauges, thermometers etc. # Magnetic compass # Ready availability of fire fighting equipment",0.662 # 0.634 # 0.630
Are the master and / or chief officer familiar with the rules for deciding to ventilate the cargo holds during the voyage? (V)?,"Ventilation (Accommodation) # No direct openings into sleeping rooms cargo/mach. # Openings to cargo area, doors, ..., scuttles",0.747 # 0.734 # 0.716
"Is ventilation of cargo holds, where required, being carried out and recorded? (V)?","Ventilation (Accommodation) # Ventilation (Working spaces) # Openings to cargo area, doors, ..., scuttles",0.726 # 0.717 # 0.716
Is there evidence of a satisfactory grain stability calculation for the last voyage?,Grain # Authorization for grain carriage # Stability/strenght/loading information and instruments,0.775 # 0.721 # 0.709
"Has a cargo loading/unloading plan providing detailed sequences of cargo and ballast transfer been prepared, understood, and signed off by the deck officers? (V)?","Booklet for bulk cargo loading/unloading/stowage # Loading/Ballast condition (Tanker) # Stowage incl. uprights, lashing, etc (timber)",0.751 # 0.748 # 0.732
Are the hold bilges cleaned prior to loading and have all hold openings been made grain tight? (V)?,Bulkheads - operational damage # Bulwarks and freeing ports # Machinery space openings,0.679 # 0.664 # 0.662
"Do records on board verify that cargo lights in holds, where fitted, were properly isolated before cargo was loaded? (V)?","Low level lighting in corridors # Stowage incl. uprights, lashing, etc (timber) # Stability/strenght/loading information and instruments",0.713 # 0.711 # 0.709
Is an adequate record of all cargo operation activities maintained during loading and unloading? (V)?,Cargo operations including equipment # Stability/strenght/loading information and instruments # Cargo operation,0.714 # 0.695 # 0.690
"Are the dangers associated with oxygen depletion of grain cargo understood by officers and crew, and have reasonable precautions been taken during routine inspections of the cargo, when entering the holds and adjacent spaces? (V)?","Stowage # Openings to cargo area, doors, ..., scuttles # Safe means of access deck - hold/tank, etc.",0.740 # 0.739 # 0.738
"Are policy statements and relevant publications for the safe stowage, securing and handling of the cargo unit and timber available on board? (V)?","Stowage incl. uprights, lashing, etc (timber) # Other cargo - timber -deck/construction # Stability/strenght/loading information and instruments",0.776 # 0.744 # 0.721
Has appropriate information about the cargo and its characteristics been provided to the master or master’s representative prior to loading? (V)?,Cargo density declaration # Cargo information # Stability/strenght/loading information and instruments,0.741 # 0.718 # 0.715
"Is if dangerous goods are carried in packaged form, have appropriate documents been provided to the vessels? (V)?",Document of compliance dangerous goods # P & A manual # Document for carriage of dangerous goods,0.773 # 0.756 # 0.732
Are procedures for safe lashing and securing operations incorporated in the ship’s SMS?,Cargo securing manual # ISM # Operation/maintenance,0.746 # 0.742 # 0.733
Is an approved ship-specific Cargo Securing Manual available and are officers thoroughly familiar with the contents of the manual? (V)?,"Cargo securing manual # Stability/strenght/loading information and instruments # Stowage incl. uprights, lashing, etc (timber)",0.780 # 0.751 # 0.738
Are records maintained of the regular inspection and maintenance of the cargo-securing devices on board the ship? (V)?,Maintenance of Life Saving Appliances # Stability/strenght/loading information and instruments # Logbook entries referring AFS,0.724 # 0.722 # 0.716
Are there procedures for the removal of damaged lashing devices from service? (V)?,Lashing material # Maintenance of Fire protection systems # Maintenance / duplication of equipment,0.681 # 0.628 # 0.626
Is there evidence to show that samples of the timber cargoes are being weighed during loading and what is the actual weight compared to the weight stated by the shipper? (V)?,"Stowage incl. uprights, lashing, etc (timber) # Other cargo - timber -deck/construction # Freeboard marks",0.758 # 0.736 # 0.714
"Is if the vessel is a timber carrier, have up to date lashing plans for each stowage and securing arrangement been incorporated in the Cargo Securing Manual? (V)?","Stowage incl. uprights, lashing, etc (timber) # Other cargo - timber -deck/construction # Cargo securing manual",0.785 # 0.764 # 0.727
"Is if the vessel is a timber carrier, has a lashing plan according to the ship’s Cargo Securing Manual been prepared? (V)?","Stowage incl. uprights, lashing, etc (timber) # Other cargo - timber -deck/construction # Cargo securing manual",0.794 # 0.781 # 0.734
"Has a pre-stowage plan been prepared prior to the vessel’s arrival at the load port, taking into account any deck cargo and anticipated stability throughout the voyage? (V)?","Stability/strenght/loading information and instruments # Stowage incl. uprights, lashing, etc (timber) # Booklet for bulk cargo loading/unloading/stowage",0.743 # 0.743 # 0.738
"Are officers aware of the strength limits of tank tops, tween decks, hatch covers and weather decks with regards to safe cargo stowage and is this information posted in the ship’s office/ ballast control room? (V)?","Stowage incl. uprights, lashing, etc (timber) # Safe means of access deck - hold/tank, etc. # Cargo and other hatchways",0.773 # 0.769 # 0.762
Have pre-stowage and stowage plans been prepared and completed effectively? (V)?,"Booklet for bulk cargo loading/unloading/stowage # Stowage # Stowage incl. uprights, lashing, etc (timber)",0.718 # 0.715 # 0.708
"Is there evidence to show that evaluation of forces acting on the cargo unit have been calculated, and correct cargo-securing devices are being used to secure the cargo to the ship? (V)?","Stability/strenght/loading information and instruments # Stowage incl. uprights, lashing, etc (timber) # Cargo securing manual",0.747 # 0.741 # 0.735
Have personnel engaged in cargo securing operations been provided with relevant training and familiarisation? (V)?,Security drills # Security awareness training # Training and qualification MLC - Personnel safety training,0.724 # 0.719 # 0.715
"Is if the vessel is carrying timber deck cargo, are relevant regulations of the applicable Load-Line Convention for stowage and securing of timber as prescribed in the ship’s Cargo Securing Manual being followed? (V)?","Stowage incl. uprights, lashing, etc (timber) # Other cargo - timber -deck/construction # Stability/strenght/loading information and instruments",0.810 # 0.797 # 0.748
"Is if the vessel is carrying timber, are instructions for ballast water exchange operations for the intended voyage available in the Ballast Water Management Plan? (V)?","Other cargo - timber -deck/construction # Stowage incl. uprights, lashing, etc (timber) # Ballast Water Management Certificate",0.740 # 0.731 # 0.712
Can timber deck cargo be jettisoned into the sea in a controlled manner in an emergency? (V)?,"Stowage incl. uprights, lashing, etc (timber) # Other cargo - timber -deck/construction # Fire protection cargo deck area",0.716 # 0.708 # 0.682
"Is if the vessel is a non-cellular ship, have the containers been stowed correctly on deck? (V)?","Stowage incl. uprights, lashing, etc (timber) # Stowage # Garbage",0.720 # 0.719 # 0.709
Is there a procedure for monitoring the temperature of refrigerated containers and are records maintained? (V)?,Food temperature # Cold room temperature # Temperature control,0.673 # 0.668 # 0.665
"Is if refrigerated containers are carried, are sufficient spare parts available on board? (V)?",Medical equipment # Lifeboat inventory # Loading and unloading equipment,0.695 # 0.685 # 0.684
"Is if refrigerated containers are carried, is the electric power supply permanently installed from the engine room and are the ship’s electrical distribution system and electric container sockets in good condition and undamaged? (V)?",Reserve source of energy # Electrical # Emergency source of power - Emergency generator,0.716 # 0.705 # 0.704
Are pre-loading/acceptance procedures for the carriage of vehicles on board a ro-ro cargo ship incorporated in the SMS? (V)?,Cargo density declaration # Loading and unloading equipment # Facilities for reception of marine safety information,0.692 # 0.687 # 0.685
Is the ro-ro cargo ship equipped with CCTV remote monitoring to monitor the vehicle decks? (V)?,Loading and unloading equipment # Fire protection cargo deck area # Information on the A/A-max ratio (Roro/pass.only),0.628 # 0.625 # 0.624
"Is the ro-ro cargo ship drainage system in good order, tested regularly and are effective measures in place to prevent blocking of drains? (V)?","Retention of oil on board # Loading and unloading equipment # Pumping, piping and discharge arrangements",0.709 # 0.708 # 0.708
Is the ro-ro cargo ship provided with an approved Operating and Maintenance Manual (OMM)? (V)?,"Technical Files and if applicable, monitoring manual # Document of compliance (DoC/ ISM) # Information on the A/A-max ratio (Roro/pass.only)",0.674 # 0.661 # 0.655
"Are procedures in place to carry out function and tightness testing of bow, inner, side shell, stern doors and main to lower deck cargo elevators of ro-ro cargo ships and is there evidence of regular testing? (V)?","Loading and unloading equipment # Openings to cargo area, doors, ..., scuttles # Closing devices/watertight doors",0.719 # 0.711 # 0.699
Is an operation manual for the ventilation system in a ro-ro cargo space provided and do records on board verify that the air quality is tested? (V)?,"Atmosphere testing instruments # Ventilation (Accommodation) # Technical Files and if applicable, monitoring manual",0.734 # 0.703 # 0.696
"Is the ro-ro ship fitted with an automatic system to control air quality in the cargo holds and are records of inspection, testing, calibration, and maintenance of the system being maintained? (V)?","Atmosphere testing instruments # Technical Files and if applicable, monitoring manual # International Air Pollution Prevention Cert",0.703 # 0.688 # 0.676
Are vehicles on the ro-ro car decks safely stowed and secured? (V)?,"Information on the A/A-max ratio (Roro/pass.only) # Loading and unloading equipment # Openings to cargo area, doors, ..., scuttles",0.692 # 0.692 # 0.671
Has the vessel been provided with procedures and contingencies with regards to fumigation of cargo holds and are the master and chief officer familiar with the procedure? (V)?,Fire drills # Cargo securing manual # Loading/Ballast condition (Tanker),0.726 # 0.722 # 0.716
"Have the air conditioning intakes for the accommodation, the engine room and other spaces been set to prevent the possibility of drawing in fumigant gas? (V)?",Ventilation (Working spaces) # Ventilation (Accommodation) # No direct openings into sleeping rooms cargo/mach.,0.731 # 0.717 # 0.705
"Are necessary instruments (with spares) to determine the dew points provided, maintained in good condition and are there records of calibration of such instrument? (V)?","Gauges, thermometers etc. # Maintenance of Fire protection systems # Magnetic compass",0.652 # 0.630 # 0.624
Are master and/or chief officer familiar with the rules for deciding when to ventilate the cargo holds during the voyage? (V)?,"Ventilation (Accommodation) # No direct openings into sleeping rooms cargo/mach. # Safe means of access deck - hold/tank, etc.",0.746 # 0.732 # 0.718
Is ventilation of cargo holds being carried out and recorded? (V)?,Ventilation (Accommodation) # Ventilation (Working spaces) # Ventilation procedures / equipment,0.707 # 0.700 # 0.696
Are the hold bilges cleaned prior to loading and are cleaning and checks being recorded? (V)?,Logbook entries referring AFS # Bilge pumping arrangements # Freeboard marks,0.720 # 0.694 # 0.693
Do records on board verify that cargo lights in holds were properly isolated before cargo was loaded? (V)?,"Low level lighting in corridors # Stability/strenght/loading information and instruments # Stowage incl. uprights, lashing, etc (timber)",0.711 # 0.707 # 0.706
Is an adequate record of all cargo operation activities maintained during loading and unloading? (V)?,Cargo operations including equipment # Stability/strenght/loading information and instruments # Cargo operation,0.714 # 0.695 # 0.690
"Is the vessel provided with operator’s policy statements and relevant publications for the safe stowage, securing and handling of the container? (V)?",Stability/strenght/loading information and instruments # Stowage # Booklet for bulk cargo loading/unloading/stowage,0.721 # 0.710 # 0.707
Has appropriate cargo information been provided to the vessel prior to loading? (V)?,Stability/strenght/loading information and instruments # Cargo density declaration # Cargo information,0.747 # 0.731 # 0.716
"Is if dangerous goods are carried in a container, have appropriate documents been provided to the vessel, and is safety in relation to stowage of declared dangerous goods and higher risk cargoes being considered? (V & M)?",Document of compliance dangerous goods # P & A manual # Document for carriage of dangerous goods,0.771 # 0.769 # 0.764
Is there a procedure for checking the container’s seals and is there documented evidence of compliance? (V)?,Garbage # Document of compliance (DoC/ ISM) # Other (AFS),0.685 # 0.684 # 0.681
"Is cargo on flat racks, where applicable properly secured? (V)?","Stowage of cargo # Stowage incl. uprights, lashing, etc (timber) # Lashing material",0.709 # 0.707 # 0.698
Is the verified gross mass communicated in shipping documents sufficiently in advance to the master? (V)?,Cargo density declaration # Document of compliance (DoC/ ISM) # Liquefied gases in bulk (CoF/GC Code),0.720 # 0.698 # 0.683
Have containers carried on deck or on hatches been stowed in the fore-and-aft direction? (V)?,"Stowage incl. uprights, lashing, etc (timber) # Cargo and other hatchways # Openings to cargo area, doors, ..., scuttles",0.717 # 0.703 # 0.702
Are containers stowed in block stowage? (V)?,"Stowage of cargo # Stowage # Stowage incl. uprights, lashing, etc (timber)",0.706 # 0.701 # 0.694
Are procedures for safe lashing and securing operations of containers being incorporated in the ship’s SMS? (V)?,Cargo securing manual # ISM # Operation/maintenance,0.746 # 0.737 # 0.732
"Is an approved ship’s specific Cargo Securing Manual available, and are officers thoroughly familiar with the contents of the manual and is the lashing plan compatible with the design of the vessel? (V)?","Cargo securing manual # Stowage incl. uprights, lashing, etc (timber) # Lashing material",0.777 # 0.760 # 0.752
Are records maintained of the regular inspection and maintenance of the cargo-securing devices on board the ship? (V)?,Maintenance of Life Saving Appliances # Stability/strenght/loading information and instruments # Logbook entries referring AFS,0.724 # 0.722 # 0.716
Is there a sufficient quantity of reserve cargo- securing devices on board? (V)?,"Loading and unloading equipment # Cargo ship safety equipment (including exemption) # Stowage incl. uprights, lashing, etc (timber)",0.734 # 0.733 # 0.732
Is the Cargo Safe Access Plan (CSAP) prepared and was it followed on board? (V)?,SAR co-operation plan for pass.ships on fixed trade # Booklet for bulk cargo loading/unloading/stowage # Ship security plan,0.749 # 0.735 # 0.725
Are appropriate securing points being used for cargo securing and is there recorded evidence of regular inspection and maintenance of them? (V)?,"Stowage incl. uprights, lashing, etc (timber) # Stability/strenght/loading information and instruments # Cargo and other hatchways",0.730 # 0.729 # 0.728
Are there procedures for reporting and removal of damaged lashing devices from service and are there records to demonstrate that damaged lashing devices have been removed from service? (V)?,Lashing material # Maintenance of Fire protection systems # Other (AFS),0.699 # 0.677 # 0.676
Is a Class-approved loading computer or programme in use and has its operational accuracy been regularly tested? (V)?,Stability/strenght/loading information and instruments # Ship Energy Efficiency Management plan # Operation of machinery,0.689 # 0.661 # 0.645
Is was the pre-loading plan forwarded to the ship prior to loading and is there evidence to show that the ship’s loading plan was updated and reviewed by the chief officer prior to loading? (V)?,Stability/strenght/loading information and instruments # Loading/Ballast condition (Tanker) # Booklet for bulk cargo loading/unloading/stowage,0.714 # 0.712 # 0.711
Is there recorded evidence to show that the pre-loading plan has been checked for ‘heavy’ container stacks? (V)?,Stability/strenght/loading information and instruments # Cargo density declaration # Ship Energy Efficiency Management plan,0.727 # 0.721 # 0.717
